"customer_id","customer_name","birthday","city","street_address","contact_no","birth_date"
310001,"Martha Mittens","2020-03-02","Pawtoria","12 Whisker Way",9991920,"2020-03-02"
310002,"Tebogo Tabby","2022-12-03","Bloemfontail","45 Purr Lane",9993245,"2022-12-03"
310003,"Mehmet Mau","2014-11-04","Cat Town","7 Meow Street",9992356,"2014-11-04"
310004,"Carla Calico","2022-12-12","Pawtoria","23 Tabby Trail",9990435,"2022-12-12"
310005,"Natsuki Nekko","2020-05-01","Cat Town","34 Pawprint Place",9998437,"2020-05-01"
310006,"Refilwe Ragdoll","2009-04-30","Bloemfontail","9 Feline Avenue",9996039,"2009-04-30"
310007,"Sergei Siberian","2013-05-12","Cat Town","56 Kitty Corner",9992379,"2013-05-12"
310008,"Alara Angora","2022-05-12","Cat Town","18 Claw Crescent",9990358,"2022-05-12"
310009,"Robert Ragamuffin","2021-11-23","Whiskersrand","27 Mouser Road",9992390,"2021-11-23"
310010,"Yann Manx","2021-08-07","Whiskersrand","3 Catnip Circle",9997492,"2021-08-07"
310011,"Trevelyan Cornish","2020-03-19","Whiskersrand","42 Furball Drive",9997234,"2020-03-19"
310012,"Kagiso Kitten","2019-09-30","Bloemfontail","15 Scratch Street",9996234,"2019-09-30"
310013,"Kirsten Katze","2019-02-14","Bloemfontail","8 Pounce Place",9991490,"2019-02-14"
310014,"Barbara Bastet","2017-07-25","Cat Town","31 Tail Trail",9991294,"2017-07-25"
310015,"William Whiskers","2016-12-08","Cat Town","22 Purrfect Parkway",9993109,"2016-12-08"
310016,"Tara Tortoiseshell","2016-06-21","Cat Town","14 Whiskerwind Way",9993409,"2016-06-21"
310017,"Mina Maine Coon","2022-04-03","Pawtoria","5 Catnap Court",9992357,"2022-04-03"
310018,"Simon Shorthair","2019-10-17","Pawtoria","39 Mittens Mews",9992095,"2019-10-17"
310019,"Saaliyah Sphynx","2018-01-29","Pawtoria","11 Hiss Highway",9995039,"2018-01-29"
310020,"Felix Fur","2018-05-10","Pawtoria","50 Fluffington Avenue",9996098,"2018-05-10"
